unicode,unicode padded,unicodevalue
0x1ea6,u+04f7,1ea6
0x1ea7,u+04f7,1ea7
0x1ea8,u+04f7,1ea8
0x1ea9,u+04f7,1ea9
0x1eaa,u+04f7,1eaa
0x1eab,u+04f7,1eab
0x1eac,u+04f7,1eac
0x1ead,u+04f7,1ead
0x1eae,u+04f7,1eae
0x1eaf,u+04f7,1eaf
0x1eb0,u+04f7,1eb0
0x1eb1,u+04f7,1eb1
0x1eb2,u+04f7,1eb2
0x1eb3,u+04f7,1eb3
0x1eb4,u+04f7,1eb4
0x1eb5,u+04f7,1eb5
0x1eb6,u+04f7,1eb6
0x1eb7,u+04f7,1eb7
0x1eb8,u+04f7,1eb8
0x1eb9,u+04f7,1eb9
0x1eba,u+04f7,1eba
0x1ebb,u+04f7,1ebb
0x1ebc,u+04f7,1ebc
0x1ebd,u+04f7,1ebd
0x1ebe,u+04f7,1ebe
0x1ebf,u+04f7,1ebf
0x1ec0,u+04f7,1ec0
0x1ec1,u+04f7,1ec1
0x1ec2,u+04f7,1ec2
0x1ec3,u+04f7,1ec3
0x1ec4,u+04f7,1ec4
0x1ec5,u+04f7,1ec5
0x1ec6,u+04f7,1ec6
0x1ec7,u+04f7,1ec7
0x1ec8,u+04f7,1ec8
0x1ec9,u+04f7,1ec9
0x1eca,u+04f7,1eca
0x1ecb,u+04f7,1ecb
0x1ecc,u+04f7,1ecc
0x1ecd,u+04f7,1ecd
0x1ece,u+04f7,1ece
0x1ecf,u+04f7,1ecf
0x1ed0,u+04f7,1ed0
0x1ed1,u+04f7,1ed1
0x1ed2,u+04f7,1ed2
0x1ed3,u+04f7,1ed3
0x1ed4,u+04f7,1ed4
0x1ed5,u+04f7,1ed5
0x1ed6,u+04f7,1ed6
0x1ed7,u+04f7,1ed7
0x1ed8,u+04f7,1ed8
0x1ed9,u+04f7,1ed9
0x1eda,u+04f7,1eda
0x1edb,u+04f7,1edb
0x1edc,u+04f7,1edc
0x1edd,u+04f7,1edd
0x1ede,u+04f7,1ede
0x1edf,u+04f7,1edf
0x1ee0,u+04f7,1ee0
0x1ee1,u+04f7,1ee1
0x1ee2,u+04f7,1ee2
0x1ee3,u+04f7,1ee3
0x1ee4,u+04f7,1ee4
0x1ee5,u+04f7,1ee5
0x1ee6,u+04f7,1ee6
0x1ee7,u+04f7,1ee7
0x1ee8,u+04f7,1ee8
0x1ee9,u+04f7,1ee9
0x1eea,u+04f7,1eea
0x1eeb,u+04f7,1eeb
0x1eec,u+04f7,1eec
0x1eed,u+04f7,1eed
0x1eee,u+04f7,1eee
0x1eef,u+04f7,1eef
0x1ef0,u+04f7,1ef0
0x1ef1,u+04f7,1ef1
0x1ef2,u+04f7,1ef2
0x1ef3,u+04f7,1ef3
0x1ef4,u+04f7,1ef4
0x1ef5,u+04f7,1ef5
0x1ef6,u+04f7,1ef6
0x1ef7,u+04f7,1ef7
0x1ef8,u+04f7,1ef8
0x1ef9,u+04f7,1ef9
0x1f00,u+04f7,1f00
0x1f01,u+04f7,1f01
0x1f02,u+04f7,1f02
0x1f03,u+04f7,1f03
0x1f04,u+04f7,1f04
0x1f05,u+04f7,1f05
0x1f06,u+04f7,1f06
0x1f07,u+04f7,1f07
0x1f08,u+04f7,1f08
0x1f09,u+04f7,1f09
0x1f0a,u+04f7,1f0a
0x1f0b,u+04f7,1f0b
0x1f0c,u+04f7,1f0c
0x1f0d,u+04f7,1f0d
0x1f0e,u+04f7,1f0e
0x1f0f,u+04f7,1f0f
0x1f10,u+04f7,1f10
0x1f11,u+04f7,1f11
0x1f12,u+04f7,1f12
0x1f13,u+04f7,1f13
0x1f14,u+04f7,1f14
0x1f15,u+04f7,1f15
0x1f18,u+04f7,1f18
0x1f19,u+04f7,1f19
0x1f1a,u+04f7,1f1a
0x1f1b,u+04f7,1f1b
0x1f1c,u+04f7,1f1c
0x1f1d,u+04f7,1f1d
0x1f20,u+04f7,1f20
0x1f21,u+04f7,1f21
0x1f22,u+04f7,1f22
0x1f23,u+04f7,1f23
0x1f24,u+04f7,1f24
0x1f25,u+04f7,1f25
0x1f26,u+04f7,1f26
0x1f27,u+04f7,1f27
0x1f28,u+04f7,1f28
0x1f29,u+04f7,1f29
0x1f2a,u+04f7,1f2a
0x1f2b,u+04f7,1f2b
0x1f2c,u+04f7,1f2c
0x1f2d,u+04f7,1f2d
0x1f2e,u+04f7,1f2e
0x1f2f,u+04f7,1f2f
0x1f30,u+04f7,1f30
0x1f31,u+04f7,1f31
0x1f32,u+04f7,1f32
0x1f33,u+04f7,1f33
0x1f34,u+04f7,1f34
0x1f35,u+04f7,1f35
0x1f36,u+04f7,1f36
0x1f37,u+04f7,1f37
0x1f38,u+04f7,1f38
0x1f39,u+04f7,1f39
0x1f3a,u+04f7,1f3a
0x1f3b,u+04f7,1f3b
0x1f3c,u+04f7,1f3c
0x1f3d,u+04f7,1f3d
0x1f3e,u+04f7,1f3e
0x1f3f,u+04f7,1f3f
0x1f40,u+04f7,1f40
0x1f41,u+04f7,1f41
0x1f42,u+04f7,1f42
0x1f43,u+04f7,1f43
0x1f44,u+04f7,1f44
0x1f45,u+04f7,1f45
0x1f48,u+04f7,1f48
0x1f49,u+04f7,1f49
0x1f4a,u+04f7,1f4a
0x1f4b,u+04f7,1f4b
0x1f4c,u+04f7,1f4c
0x1f4d,u+04f7,1f4d
0x1f50,u+04f7,1f50
0x1f51,u+04f7,1f51
0x1f52,u+04f7,1f52
0x1f53,u+04f7,1f53
0x1f54,u+04f7,1f54
0x1f55,u+04f7,1f55
0x1f56,u+04f7,1f56
0x1f57,u+04f7,1f57
0x1f59,u+04f7,1f59
0x1f5b,u+04f7,1f5b
0x1f5d,u+04f7,1f5d
0x1f5f,u+04f7,1f5f
0x1f60,u+04f7,1f60
0x1f61,u+04f7,1f61
0x1f62,u+04f7,1f62
0x1f63,u+04f7,1f63
0x1f64,u+04f7,1f64
0x1f65,u+04f7,1f65
0x1f66,u+04f7,1f66
0x1f67,u+04f7,1f67
0x1f68,u+04f7,1f68
0x1f69,u+04f7,1f69
0x1f6a,u+04f7,1f6a
0x1f6b,u+04f7,1f6b
0x1f6c,u+04f7,1f6c
0x1f6d,u+04f7,1f6d
0x1f6e,u+04f7,1f6e
0x1f6f,u+04f7,1f6f
0x1f70,u+04f7,1f70
0x1f71,u+04f7,1f71
0x1f72,u+04f7,1f72
0x1f73,u+04f7,1f73
0x1f74,u+04f7,1f74
0x1f75,u+04f7,1f75
0x1f76,u+04f7,1f76
0x1f77,u+04f7,1f77
0x1f78,u+04f7,1f78
0x1f79,u+04f7,1f79
0x1f7a,u+04f7,1f7a
0x1f7b,u+04f7,1f7b
0x1f7c,u+04f7,1f7c
0x1f7d,u+04f7,1f7d
0x1f80,u+04f7,1f80
0x1f81,u+04f7,1f81
0x1f82,u+04f7,1f82
0x1f83,u+04f7,1f83
0x1f84,u+04f7,1f84
0x1f85,u+04f7,1f85
0x1f86,u+04f7,1f86
0x1f87,u+04f7,1f87
0x1f88,u+04f7,1f88
0x1f89,u+04f7,1f89
0x1f8a,u+04f7,1f8a
0x1f8b,u+04f7,1f8b
0x1f8c,u+04f7,1f8c
0x1f8d,u+04f7,1f8d
0x1f8e,u+04f7,1f8e
0x1f8f,u+04f7,1f8f
0x1f90,u+04f7,1f90
0x1f91,u+04f7,1f91
0x1f92,u+04f7,1f92
0x1f93,u+04f7,1f93
0x1f94,u+04f7,1f94
0x1f95,u+04f7,1f95
0x1f96,u+04f7,1f96
0x1f97,u+04f7,1f97
0x1f98,u+04f7,1f98
0x1f99,u+04f7,1f99
0x1f9a,u+04f7,1f9a
0x1f9b,u+04f7,1f9b
0x1f9c,u+04f7,1f9c
0x1f9d,u+04f7,1f9d
0x1f9e,u+04f7,1f9e
0x1f9f,u+04f7,1f9f
0x1fa0,u+04f7,1fa0
0x1fa1,u+04f7,1fa1
0x1fa2,u+04f7,1fa2
0x1fa3,u+04f7,1fa3
0x1fa4,u+04f7,1fa4
0x1fa5,u+04f7,1fa5
0x1fa6,u+04f7,1fa6
0x1fa7,u+04f7,1fa7
0x1fa8,u+04f7,1fa8
0x1fa9,u+04f7,1fa9
0x1faa,u+04f7,1faa
0x1fab,u+04f7,1fab
0x1fac,u+04f7,1fac
0x1fad,u+04f7,1fad
0x1fae,u+04f7,1fae
0x1faf,u+04f7,1faf
0x1fb0,u+04f7,1fb0
0x1fb1,u+04f7,1fb1
0x1fb2,u+04f7,1fb2
0x1fb3,u+04f7,1fb3
0x1fb4,u+04f7,1fb4
0x1fb6,u+04f7,1fb6
0x1fb7,u+04f7,1fb7
0x1fb8,u+04f7,1fb8
0x1fb9,u+04f7,1fb9
0x1fba,u+04f7,1fba
0x1fbb,u+04f7,1fbb
0x1fbc,u+04f7,1fbc
0x1fbd,u+04f7,1fbd
0x1fbe,u+04f7,1fbe
0x1fbf,u+04f7,1fbf
0x1fc0,u+04f7,1fc0
0x1fc1,u+04f7,1fc1
0x1fc2,u+04f7,1fc2
0x1fc3,u+04f7,1fc3
0x1fc4,u+04f7,1fc4
0x1fc6,u+04f7,1fc6
0x1fc7,u+04f7,1fc7
0x1fc8,u+04f7,1fc8
0x1fc9,u+04f7,1fc9
0x1fca,u+04f7,1fca
0x1fcb,u+04f7,1fcb
0x1fcc,u+04f7,1fcc
0x1fcd,u+04f7,1fcd
0x1fce,u+04f7,1fce
0x1fcf,u+04f7,1fcf
0x1fd0,u+04f7,1fd0
0x1fd1,u+04f7,1fd1
0x1fd2,u+04f7,1fd2
0x1fd3,u+04f7,1fd3
0x1fd6,u+04f7,1fd6
0x1fd7,u+04f7,1fd7
0x1fd8,u+04f7,1fd8
0x1fd9,u+04f7,1fd9
0x1fda,u+04f7,1fda
0x1fdb,u+04f7,1fdb
0x1fdd,u+04f7,1fdd
0x1fde,u+04f7,1fde
0x1fdf,u+04f7,1fdf
0x1fe0,u+04f7,1fe0
0x1fe1,u+04f7,1fe1
0x1fe2,u+04f7,1fe2
0x1fe3,u+04f7,1fe3
0x1fe4,u+04f7,1fe4
0x1fe5,u+04f7,1fe5
0x1fe6,u+04f7,1fe6
0x1fe7,u+04f7,1fe7
0x1fe8,u+04f7,1fe8
0x1fe9,u+04f7,1fe9
0x1fea,u+04f7,1fea
0x1feb,u+04f7,1feb
0x1fec,u+04f7,1fec
0x1fed,u+04f7,1fed
0x1fee,u+04f7,1fee
0x1fef,u+04f7,1fef
0x1ff2,u+04f7,1ff2
0x1ff3,u+04f7,1ff3
0x1ff4,u+04f7,1ff4
0x1ff6,u+04f7,1ff6
0x1ff7,u+04f7,1ff7
0x1ff8,u+04f7,1ff8
0x1ff9,u+04f7,1ff9
0x1ffa,u+04f7,1ffa
0x1ffb,u+04f7,1ffb
0x1ffc,u+04f7,1ffc
0x1ffd,u+04f7,1ffd
0x1ffe,u+04f7,1ffe
0x2007,u+04f7,2007
0x2009,u+04f7,2009
0x200a,u+04f7,200a
0x200b,u+04f7,200b
0x2010,u+04f7,2010
0x2011,u+04f7,2011
0x2012,u+04f7,2012
0x2013,u+04f7,2013
0x2014,u+04f7,2014
0x2015,u+04f7,2015
0x2016,u+04f7,2016
0x2017,u+04f7,2017
0x2018,u+04f7,2018
0x2019,u+04f7,2019
0x201a,u+04f7,201a
0x201b,u+04f7,201b
0x201c,u+04f7,201c
0x201d,u+04f7,201d
0x201e,u+04f7,201e
0x2020,u+04f7,2020
0x2021,u+04f7,2021
0x2022,u+04f7,2022
0x2023,u+04f7,2023
0x2026,u+04f7,2026
0x202f,u+04f7,202f
0x2030,u+04f7,2030
0x2031,u+04f7,2031
0x2032,u+04f7,2032
0x2033,u+04f7,2033
0x2035,u+04f7,2035
0x2039,u+04f7,2039
0x203a,u+04f7,203a
0x203c,u+04f7,203c
0x203d,u+04f7,203d
0x203e,u+04f7,203e
0x203f,u+04f7,203f
0x2044,u+04f7,2044
0x2047,u+04f7,2047
0x2048,u+04f7,2048
0x2049,u+04f7,2049
0x204a,u+04f7,204a
0x2070,u+04f7,2070
0x2071,u+04f7,2071
0x2074,u+04f7,2074
0x2075,u+04f7,2075
0x2076,u+04f7,2076
0x2077,u+04f7,2077
0x2078,u+04f7,2078
0x2079,u+04f7,2079
0x207a,u+04f7,207a
0x207b,u+04f7,207b
0x207c,u+04f7,207c
0x207d,u+04f7,207d
0x207e,u+04f7,207e
0x207f,u+04f7,207f
0x2080,u+04f7,2080
0x2081,u+04f7,2081
0x2082,u+04f7,2082
0x2083,u+04f7,2083
0x2084,u+04f7,2084
0x2085,u+04f7,2085
0x2086,u+04f7,2086
0x2087,u+04f7,2087
0x2088,u+04f7,2088
0x2089,u+04f7,2089
0x208a,u+04f7,208a
0x208b,u+04f7,208b
0x208c,u+04f7,208c
0x208d,u+04f7,208d
0x208e,u+04f7,208e
0x20a1,u+04f7,20a1
0x20a3,u+04f7,20a3
0x20a4,u+04f7,20a4
0x20a6,u+04f7,20a6
0x20a7,u+04f7,20a7
0x20a9,u+04f7,20a9
0x20ab,u+04f7,20ab
0x20ac,u+04f7,20ac
0x20ae,u+04f7,20ae
0x20b1,u+04f7,20b1
0x20b2,u+04f7,20b2
0x20b4,u+04f7,20b4
0x20b5,u+04f7,20b5
0x20b8,u+04f7,20b8
0x20b9,u+04f7,20b9
0x20ba,u+04f7,20ba
0x20bd,u+04f7,20bd
0x2105,u+04f7,2105
0x2113,u+04f7,2113
0x2116,u+04f7,2116
0x2117,u+04f7,2117
0x211e,u+04f7,211e
0x2120,u+04f7,2120
0x2122,u+04f7,2122
0x2126,u+04f7,2126
0x212e,u+04f7,212e
0x2150,u+04f7,2150
0x2151,u+04f7,2151
0x2152,u+04f7,2152
0x2153,u+04f7,2153
0x2154,u+04f7,2154
0x2155,u+04f7,2155
0x2156,u+04f7,2156
0x2157,u+04f7,2157
0x2158,u+04f7,2158
0x2159,u+04f7,2159
0x215a,u+04f7,215a
0x215b,u+04f7,215b
0x215c,u+04f7,215c
0x215d,u+04f7,215d
0x215e,u+04f7,215e
0x2189,u+04f7,2189
0x2190,u+04f7,2190
0x2191,u+04f7,2191
0x2192,u+04f7,2192
0x2193,u+04f7,2193
0x2194,u+04f7,2194
0x2195,u+04f7,2195
0x2196,u+04f7,2196
0x2197,u+04f7,2197
0x2198,u+04f7,2198
0x2199,u+04f7,2199
0x21a8,u+04f7,21a8
0x21d0,u+04f7,21d0
0x21d1,u+04f7,21d1
0x21d2,u+04f7,21d2
0x21d3,u+04f7,21d3
0x21e7,u+04f7,21e7
0x2200,u+04f7,2200
0x2202,u+04f7,2202
0x2203,u+04f7,2203
0x2206,u+04f7,2206
0x220f,u+04f7,220f
0x2211,u+04f7,2211
0x2212,u+04f7,2212
0x2215,u+04f7,2215
0x2219,u+04f7,2219
0x221a,u+04f7,221a
0x221e,u+04f7,221e
0x221f,u+04f7,221f
0x2229,u+04f7,2229
0x222b,u+04f7,222b
0x2236,u+04f7,2236
0x2237,u+04f7,2237
0x2248,u+04f7,2248
0x2260,u+04f7,2260
0x2261,u+04f7,2261
0x2264,u+04f7,2264
0x2265,u+04f7,2265
0x2302,u+04f7,2302
0x2303,u+04f7,2303
0x2310,u+04f7,2310
0x2318,u+04f7,2318
0x231c,u+04f7,231c
0x231d,u+04f7,231d
0x231e,u+04f7,231e
0x231f,u+04f7,231f
0x2320,u+04f7,2320
0x2321,u+04f7,2321
0x2325,u+04f7,2325
0x2326,u+04f7,2326
0x232b,u+04f7,232b
0x25a0,u+04f7,25a0
0x25a1,u+04f7,25a1
0x25aa,u+04f7,25aa
0x25ab,u+04f7,25ab
0x25ac,u+04f7,25ac
0x25b2,u+04f7,25b2
0x25b3,u+04f7,25b3
0x25b4,u+04f7,25b4
0x25b5,u+04f7,25b5
0x25b6,u+04f7,25b6
0x25b7,u+04f7,25b7
0x25b8,u+04f7,25b8
0x25b9,u+04f7,25b9
0x25ba,u+04f7,25ba
0x25bc,u+04f7,25bc
0x25bd,u+04f7,25bd
0x25be,u+04f7,25be
0x25bf,u+04f7,25bf
0x25c0,u+04f7,25c0
0x25c1,u+04f7,25c1
0x25c2,u+04f7,25c2
0x25c3,u+04f7,25c3
0x25c4,u+04f7,25c4
0x25c6,u+04f7,25c6
0x25c9,u+04f7,25c9
0x25ca,u+04f7,25ca
0x25cb,u+04f7,25cb
0x25cc,u+04f7,25cc
0x25cf,u+04f7,25cf
0x25d8,u+04f7,25d8
0x25d9,u+04f7,25d9
0x25e6,u+04f7,25e6
0x2610,u+04f7,2610
0x2611,u+04f7,2611
0x2615,u+04f7,2615
0x263a,u+04f7,263a
0x263b,u+04f7,263b
0x263c,u+04f7,263c
0x263f,u+04f7,263f
0x2640,u+04f7,2640
0x2641,u+04f7,2641
0x2642,u+04f7,2642
0x2660,u+04f7,2660
0x2663,u+04f7,2663
0x2665,u+04f7,2665
0x2666,u+04f7,2666
0x266a,u+04f7,266a
0x266b,u+04f7,266b
0x2713,u+04f7,2713
0x2714,u+04f7,2714
0x2717,u+04f7,2717
0x2718,u+04f7,2718
0x2752,u+04f7,2752
0x275b,u+04f7,275b
0x275c,u+04f7,275c
0x275d,u+04f7,275d
0x275e,u+04f7,275e
0x275f,u+04f7,275f
0x2760,u+04f7,2760
0x2764,u+04f7,2764
0x27e6,u+04f7,27e6
0x27e7,u+04f7,27e7
0x27e8,u+04f7,27e8
0x27e9,u+04f7,27e9
0x2c60,u+04f7,2c60
0x2c61,u+04f7,2c61
0x2c62,u+04f7,2c62
0x2c65,u+04f7,2c65
0x2c66,u+04f7,2c66
0x2c71,u+04f7,2c71
0x2c7d,u+04f7,2c7d
0x2e18,u+04f7,2e18
0x2e22,u+04f7,2e22
0x2e23,u+04f7,2e23
0x2e24,u+04f7,2e24
0x2e25,u+04f7,2e25
0x2e3a,u+04f7,2e3a
0x2e3b,u+04f7,2e3b
0x2e52,u+04f7,2e52
0xa71c,u+04f7,a71c
0xa722,u+04f7,a722
0xa723,u+04f7,a723
0xa724,u+04f7,a724
0xa725,u+04f7,a725
0xa74e,u+04f7,a74e
0xa74f,u+04f7,a74f
0xa75a,u+04f7,a75a
0xa75b,u+04f7,a75b
0xa764,u+04f7,a764
0xa765,u+04f7,a765
0xa779,u+04f7,a779
0xa77a,u+04f7,a77a
0xa77b,u+04f7,a77b
0xa77c,u+04f7,a77c
0xa77d,u+04f7,a77d
0xa77e,u+04f7,a77e
0xa77f,u+04f7,a77f
0xa780,u+04f7,a780
0xa781,u+04f7,a781
0xa782,u+04f7,a782
0xa783,u+04f7,a783
0xa784,u+04f7,a784
0xa785,u+04f7,a785
0xa786,u+04f7,a786
0xa787,u+04f7,a787
0xa789,u+04f7,a789
0xa7ad,u+04f7,a7ad
0xa7ae,u+04f7,a7ae
0xa7b3,u+04f7,a7b3
0xa7b5,u+04f7,a7b5
0xa7f2,u+04f7,a7f2
0xa7f3,u+04f7,a7f3
0xa7f4,u+04f7,a7f4
0xab53,u+04f7,ab53
0xab66,u+04f7,ab66
0xab67,u+04f7,ab67
0xfb00,u+04f7,fb00
0xfb01,u+04f7,fb01
0xfb02,u+04f7,fb02
0xfb03,u+04f7,fb03
0xfb04,u+04f7,fb04
0xfeff,u+04f7,feff
