unicode,unicode padded,unicodevalue
0x12b,u+012b,012b
0x12c,u+012c,012c
0x12d,u+012d,012d
0x12e,u+012e,012e
0x12f,u+012f,012f
0x130,u+0130,0130
0x131,u+0131,0131
0x132,u+0132,0132
0x133,u+0133,0133
0x134,u+0134,0134
0x135,u+0135,0135
0x136,u+0136,0136
0x137,u+0137,0137
0x138,u+0138,0138
0x139,u+0139,0139
0x13a,u+013a,013a
0x13b,u+013b,013b
0x13c,u+013c,013c
0x13d,u+013d,013d
0x13e,u+013e,013e
0x13f,u+013f,013f
0x140,u+0140,0140
0x141,u+0141,0141
0x142,u+0142,0142
0x143,u+0143,0143
0x144,u+0144,0144
0x145,u+0145,0145
0x146,u+0146,0146
0x147,u+0147,0147
0x148,u+0148,0148
0x149,u+0149,0149
0x14a,u+014a,014a
0x14b,u+014b,014b
0x14c,u+014c,014c
0x14d,u+014d,014d
0x14e,u+014e,014e
0x14f,u+014f,014f
0x150,u+0150,0150
0x151,u+0151,0151
0x152,u+0152,0152
0x153,u+0153,0153
0x154,u+0154,0154
0x155,u+0155,0155
0x156,u+0156,0156
0x157,u+0157,0157
0x158,u+0158,0158
0x159,u+0159,0159
0x15a,u+015a,015a
0x15b,u+015b,015b
0x15c,u+015c,015c
0x15d,u+015d,015d
0x15e,u+015e,015e
0x15f,u+015f,015f
0x160,u+0160,0160
0x161,u+0161,0161
0x162,u+0162,0162
0x163,u+0163,0163
0x164,u+0164,0164
0x165,u+0165,0165
0x166,u+0166,0166
0x167,u+0167,0167
0x168,u+0168,0168
0x169,u+0169,0169
0x16a,u+016a,016a
0x16b,u+016b,016b
0x16c,u+016c,016c
0x16d,u+016d,016d
0x16e,u+016e,016e
0x16f,u+016f,016f
0x170,u+0170,0170
0x171,u+0171,0171
0x172,u+0172,0172
0x173,u+0173,0173
0x174,u+0174,0174
0x175,u+0175,0175
0x176,u+0176,0176
0x177,u+0177,0177
0x178,u+0178,0178
0x179,u+0179,0179
0x17a,u+017a,017a
0x17b,u+017b,017b
0x17c,u+017c,017c
0x17d,u+017d,017d
0x17e,u+017e,017e
0x17f,u+017f,017f
0x180,u+0180,0180
0x181,u+0181,0181
0x182,u+0182,0182
0x183,u+0183,0183
0x184,u+0184,0184
0x185,u+0185,0185
0x186,u+0186,0186
0x187,u+0187,0187
0x188,u+0188,0188
0x189,u+0189,0189
0x18a,u+018a,018a
0x18b,u+018b,018b
0x18c,u+018c,018c
0x18d,u+018d,018d
0x18e,u+018e,018e
0x18f,u+018f,018f
0x190,u+0190,0190
0x191,u+0191,0191
