0xfb47,u+fb47
0xfb48,u+fb48
0xfb49,u+fb49
0xfb4a,u+fb4a
0xfb4b,u+fb4b
0xfb4c,u+fb4c
0xfb4d,u+fb4d
0xfb4e,u+fb4e
0xfb4f,u+fb4f
0xfb50,u+fb50
0xfb51,u+fb51
0xfb52,u+fb52
0xfb53,u+fb53
0xfb54,u+fb54
0xfb55,u+fb55
0xfb56,u+fb56
0xfb57,u+fb57
0xfb58,u+fb58
0xfb59,u+fb59
0xfb5a,u+fb5a
0xfb5b,u+fb5b
0xfb5c,u+fb5c
0xfb5d,u+fb5d
0xfb5e,u+fb5e
0xfb5f,u+fb5f
0xfb60,u+fb60
0xfb61,u+fb61
0xfb62,u+fb62
0xfb63,u+fb63
0xfb64,u+fb64
0xfb65,u+fb65
0xfb66,u+fb66
0xfb67,u+fb67
0xfb68,u+fb68
0xfb69,u+fb69
0xfb6a,u+fb6a
0xfb6b,u+fb6b
0xfb6c,u+fb6c
0xfb6d,u+fb6d
0xfb6e,u+fb6e
0xfb6f,u+fb6f
0xfb70,u+fb70
0xfb71,u+fb71
0xfb72,u+fb72
0xfb73,u+fb73
0xfb74,u+fb74
0xfb75,u+fb75
0xfb76,u+fb76
0xfb77,u+fb77
0xfb78,u+fb78
0xfb79,u+fb79
0xfb7a,u+fb7a
0xfb7b,u+fb7b
0xfb7c,u+fb7c
0xfb7d,u+fb7d
0xfb7e,u+fb7e
0xfb7f,u+fb7f
0xfb80,u+fb80
0xfb81,u+fb81
0xfb82,u+fb82
0xfb83,u+fb83
0xfb84,u+fb84
0xfb85,u+fb85
0xfb86,u+fb86
0xfb87,u+fb87
0xfb88,u+fb88
0xfb89,u+fb89
0xfb8a,u+fb8a
0xfb8b,u+fb8b
0xfb8c,u+fb8c
0xfb8d,u+fb8d
0xfb8e,u+fb8e
0xfb8f,u+fb8f
0xfb90,u+fb90
0xfb91,u+fb91
0xfb92,u+fb92
0xfb93,u+fb93
0xfb94,u+fb94
0xfb95,u+fb95
0xfb96,u+fb96
0xfb97,u+fb97
0xfb98,u+fb98
0xfb99,u+fb99
0xfb9a,u+fb9a
0xfb9b,u+fb9b
0xfb9c,u+fb9c
0xfb9d,u+fb9d
0xfb9e,u+fb9e
0xfb9f,u+fb9f
0xfba0,u+fba0
0xfba1,u+fba1
0xfba2,u+fba2
0xfba3,u+fba3
0xfba4,u+fba4
0xfba5,u+fba5
0xfba6,u+fba6
0xfba7,u+fba7
0xfba8,u+fba8
0xfba9,u+fba9
0xfbaa,u+fbaa
0xfbab,u+fbab
0xfbac,u+fbac
0xfbad,u+fbad
0xfbae,u+fbae
0xfbaf,u+fbaf
0xfbb0,u+fbb0
0xfbb1,u+fbb1
0xfbd3,u+fbd3
0xfbd4,u+fbd4
0xfbd5,u+fbd5
0xfbd6,u+fbd6
0xfbd7,u+fbd7
0xfbd8,u+fbd8
0xfbd9,u+fbd9
0xfbda,u+fbda
0xfbdb,u+fbdb
0xfbdc,u+fbdc
0xfbdd,u+fbdd
0xfbde,u+fbde
0xfbdf,u+fbdf
0xfbe0,u+fbe0
0xfbe1,u+fbe1
0xfbe2,u+fbe2
0xfbe3,u+fbe3
0xfbe4,u+fbe4
0xfbe5,u+fbe5
0xfbe6,u+fbe6
0xfbe7,u+fbe7
0xfbfc,u+fbfc
0xfbfd,u+fbfd
0xfbfe,u+fbfe
0xfbff,u+fbff
0xfc5e,u+fc5e
0xfc5f,u+fc5f
